"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Tupelo, MS","46180",2013,242,223,18,1,0,0,0,101,49,38,0,0,242,0,0,0
"Tuscaloosa, AL","46220",2013,362,333,29,0,0,0,0,71,49,32,0,0,194,81,87,0
"Twin Falls, ID","46300",2013,305,292,13,0,0,0,0,86,37,13,0,0,0,0,305,0
"Tyler, TX","46340",2013,357,306,47,4,0,0,0,126,61,38,0,3,354,0,0,0
"Ukiah, CA","46380",2013,331,275,56,0,0,0,0,79,59,28,0,0,54,0,113,164
"Urban Honolulu, HI","46520",2013,365,347,18,0,0,0,0,67,46,30,0,0,141,0,221,3
"Utica-Rome, NY","46540",2013,365,310,55,0,0,0,0,93,55,37,0,0,257,1,107,0
"Valdosta, GA","46660",2013,363,286,74,3,0,0,0,118,58,36,0,0,0,0,363,0
"Vallejo-Fairfield, CA","46700",2013,365,230,124,11,0,0,0,132,73,44,0,3,180,0,182,0
"Vernal, UT","46860",2013,365,134,167,22,23,19,0,238,164,58,0,3,346,0,16,0
"Victoria, TX","47020",2013,336,320,16,0,0,0,0,80,46,31,0,0,336,0,0,0
"Vincennes, IN","47180",2013,350,318,32,0,0,0,0,90,50,36,0,0,350,0,0,0
"Vineland-Bridgeton, NJ","47220",2013,303,285,18,0,0,0,0,90,49,34,0,0,303,0,0,0
"Vineyard Haven, MA","47240",2013,317,290,25,2,0,0,0,129,49,36,0,0,291,0,26,0
"Virginia Beach-Norfolk-Newport News, VA-NC","47260",2013,365,284,78,3,0,0,0,115,58,40,0,25,153,34,153,0
"Visalia-Porterville, CA","47300",2013,365,61,166,111,26,1,0,201,143,84,0,0,220,0,145,0
"Wabash, IN","47340",2013,353,309,42,2,0,0,0,105,54,35,0,0,353,0,0,0
"Waco, TX","47380",2013,360,271,85,4,0,0,0,115,65,41,1,3,251,0,105,0
"Walla Walla, WA","47460",2013,365,317,46,2,0,0,0,104,54,23,0,0,0,0,365,0
"Walterboro, SC","47500",2013,334,291,43,0,0,0,0,100,53,33,0,0,122,0,212,0
"Warner Robins, GA","47580",2013,351,251,100,0,0,0,0,87,59,38,0,0,0,0,351,0
"Warren, PA","47620",2013,364,310,43,11,0,0,0,136,62,14,0,0,0,364,0,0
"Washington Court House, OH","47920",2013,332,304,26,2,0,0,0,108,49,35,0,0,332,0,0,0
"Washington, IN","47780",2013,342,307,17,17,1,0,0,158,51,7,0,0,0,342,0,0
"Washington, NC","47820",2013,362,362,0,0,0,0,0,46,13,3,0,0,0,362,0,0
